id,publisher,name,Identity,align,eye,hair,sex,alive,appearances,first_appearance,month,year,date
620,Marvel,Heather Glenn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,62,"1975, October",October,1975,10/1/1975
621,Marvel,Rintrah (Earth-616),Secret Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Living Characters,62,"1986, December",December,1986,12/1/1986
622,Marvel,Kevin Masterson (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,62,"1988, June",June,1988,6/1/1988
623,Marvel,Arkady Rossovich (Earth-616),Secret Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,Deceased Characters,62,"1992, January",January,1992,1/1/1992
624,Marvel,Karima Shapandar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,62,"2000, June",June,2000,6/1/2000
625,Marvel,Norah Winters (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,62,"2008, December",December,2008,12/1/2008
626,Marvel,Brandon Sharpe (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,62,"2010, August",August,2010,8/1/2010
627,Marvel,Plan Chu (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,61,"1956, October",October,1956,10/1/1956
628,Marvel,William Connors (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,61,"1963, November",November,1963,11/1/1963
629,Marvel,Modred (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,61,"1975, October",October,1975,10/1/1975
630,Marvel,James Darnell (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,61,"1980, December",December,1980,12/1/1980
631,Marvel,Carnage (Symbiote) (Earth-616),Public Identity,Bad Characters,White Eyes,No Hair,Agender Characters,Living Characters,61,"1992, March",March,1992,3/1/1992
632,Marvel,Venus (Siren) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,61,"2006, October",October,2006,10/1/2006
633,Marvel,Lance Temple (Outlaw Kid) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,60,"1954, September",September,1954,9/1/1954
634,Marvel,Impossible Man (Earth-616),No Dual Identity,Neutral Characters,Purple Eyes,No Hair,Male Characters,Living Characters,60,"1963, February",February,1963,2/1/1963
635,Marvel,Robert Hunter (Earth-616),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,60,"1974, September",September,1974,9/1/1974
636,Marvel,Onslaught (Psychic Entity) (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,60,"1996, May",May,1996,5/1/1996
637,Marvel,Irene Merryweather (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,60,"1997, November",November,1997,11/1/1997
638,Marvel,E.V.A. (Earth-616),Secret Identity,Good Characters,NA,No Hair,Female Characters,Living Characters,60,"2002, September",September,2002,9/1/2002
639,Marvel,Mik (Moloid) (Earth-616),Secret Identity,Good Characters,NA,No Hair,Male Characters,Living Characters,60,"2010, March",March,2010,3/1/2010
640,Marvel,Kro (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,"1940, August",August,1940,8/1/1940
641,Marvel,Toni Turner (Earth-616),Public Identity,NA,Black Eyes,Black Hair,Female Characters,Living Characters,59,"1962, January",January,1962,1/1/1962
642,Marvel,Melvin Potter (Earth-616),Public Identity,NA,Blue Eyes,Bald,Male Characters,Living Characters,59,"1966, July",July,1966,7/1/1966
643,Marvel,Billy Russo (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,59,"1976, October",October,1976,10/1/1976
644,Marvel,Anath-Na Mut (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,"1977, February",February,1977,2/1/1977
645,Marvel,Gilgamesh (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,59,"1977, July",July,1977,7/1/1977
646,Marvel,Rebecca Blake (Earth-616),Public Identity,Neutral Characters,NA,Auburn Hair,Female Characters,Living Characters,59,"1978, November",November,1978,11/1/1978
647,Marvel,Biotron (Earth-616),No Dual Identity,Good Characters,NA,NA,Male Characters,Living Characters,59,"1979, January",January,1979,1/1/1979
648,Marvel,Ruth Bat-Seraph (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,59,"1980, August",August,1980,8/1/1980
649,Marvel,Sofia Mantega (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,59,"2003, July",July,2003,7/1/2003
650,Marvel,Nezhno Abidemi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,59,"2006, April",April,2006,4/1/2006
651,Marvel,Thomas Shepherd (Earth-616),Secret Identity,Good Characters,Green Eyes,White Hair,Male Characters,Living Characters,59,"2006, March",March,2006,3/1/2006
652,Marvel,Ken Mack (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,59,"2010, August",August,2010,8/1/2010
653,Marvel,Turg (Moloid) (Earth-616),Secret Identity,Good Characters,NA,No Hair,Male Characters,Living Characters,59,"2010, March",March,2010,3/1/2010
654,Marvel,Ivan Petrovitch (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,58,"1970, August",August,1970,8/1/1970
655,Marvel,Robert Diamond (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,58,"1974, April",April,1974,4/1/1974
656,Marvel,Debra Whitman (Earth-616),No Dual Identity,NA,Green Eyes,Blond Hair,Female Characters,Living Characters,58,"1979, September",September,1979,9/1/1979
657,Marvel,Cassandra Webb (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,Deceased Characters,58,"1980, November",November,1980,11/1/1980
658,Marvel,Claudette and Nicole St. Croix (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,58,"1994, September",September,1994,9/1/1994
659,Marvel,Greg Willis (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,58,"2005, August",August,2005,8/1/2005
660,Marvel,Korr (Moloid) (Earth-616),Secret Identity,Good Characters,NA,No Hair,NA,Living Characters,58,"2010, March",March,2010,3/1/2010
661,Marvel,Daniel Brito (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,57,"1964, March",March,1964,3/1/1964
662,Marvel,Jackson Brice (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,57,"1964, March",March,1964,3/1/1964
663,Marvel,Quincy Harker (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,57,"1973, March",March,1973,3/1/1973
664,Marvel,Duvid Fortunov (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,57,"1975, August",August,1975,8/1/1975
665,Marvel,Philippa Sontag (Earth-616),Secret Identity,Bad Characters,Violet Eyes,Black Hair,Female Characters,Living Characters,57,"1986, October",October,1986,10/1/1986
666,Marvel,Laurie Tromette (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,57,"2010, September",September,2010,9/1/2010
667,Marvel,Max Modell (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,57,"2011, January",January,2011,1/1/2011
668,Marvel,Arthur Pendragon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,56,"1944, March",March,1944,3/1/1944
669,Marvel,Hera Argeia (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,56,"1949, April",April,1949,4/1/1949
670,Marvel,Johann Fennhoff (Earth-616),Public Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,56,"1968, November",November,1968,11/1/1968
671,Marvel,Mesmero (Vincent) (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,56,"1968, October",October,1968,10/1/1968
672,Marvel,Martha Robertson (Earth-616),No Dual Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,56,"1969, January",January,1969,1/1/1969
673,Marvel,James Braddock Jr. (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,"1976, December",December,1976,12/1/1976
674,Marvel,Ayesha (Earth-616),Secret Identity,NA,White Eyes,Blond Hair,Female Characters,Living Characters,56,"1977, November",November,1977,11/1/1977
675,Marvel,Nebula (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Female Characters,Living Characters,56,"1985, July",July,1985,7/1/1985
676,Marvel,Blackout (Lilin) (Earth-616),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,56,"1990, June",June,1990,6/1/1990
677,Marvel,Garrison Kane (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,"1991, September",September,1991,9/1/1991
678,Marvel,Phyla-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,56,"2004, January",January,2004,1/1/2004
679,Marvel,Vil (Earth-616),Secret Identity,Neutral Characters,NA,No Hair,Female Characters,Living Characters,56,"2010, April",April,2010,4/1/2010
680,Marvel,Eliot Franklin (Clown) (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,55,"1962, September",September,1962,9/1/1962
681,Marvel,Psycho-Man (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,NA,Male Characters,Living Characters,55,"1967, November",November,1967,11/1/1967
682,Marvel,Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616),Secret Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,55,"1979, August",August,1979,8/1/1979
683,Marvel,Cleo Nefertiti (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,55,"1985, September",September,1985,9/1/1985
684,Marvel,Fen (Earth-616),No Dual Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,55,"NA, NA",NA,NA,NA
685,Marvel,Martha Connors (Earth-616),Public Identity,NA,Blue Eyes,Red Hair,Female Characters,Deceased Characters,54,"1963, November",November,1963,11/1/1963
686,Marvel,Stan Lee (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,"1963, January",January,1963,1/1/1963
687,Marvel,Athena Parthenos (Earth-616),No Dual Identity,Neutral Characters,NA,Black Hair,Female Characters,Deceased Characters,54,"1969, May",May,1969,5/1/1969
688,Marvel,Hector Ayala (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,54,"1975, December",December,1975,12/1/1975
689,Marvel,Blake Tower (Earth-616),No Dual Identity,Good Characters,NA,Blond Hair,Male Characters,Living Characters,54,"1976, January",January,1976,1/1/1976
690,Marvel,Dimitri Bukharin (Earth-616),Secret Identity,NA,Brown Eyes,Bald,Male Characters,Living Characters,54,"1978, April",April,1978,4/1/1978
691,Marvel,Captain Universe (Earth-616),Secret Identity,Good Characters,Variable Eyes,Variable Hair,Agender Characters,Living Characters,54,"1979, August",August,1979,8/1/1979
692,Marvel,Mister Negative (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,"2007, June",June,2007,6/1/2007
693,Marvel,William Lumpkin (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,53,"1963, February",February,1963,2/1/1963
694,Marvel,Ego (Earth-616),No Dual Identity,NA,NA,No Hair,Male Characters,Living Characters,53,"1966, September",September,1966,9/1/1966
695,Marvel,Bova Ayrshire (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,53,"1974, August",August,1974,8/1/1974
696,Marvel,Seth (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Red Hair,Male Characters,Living Characters,53,"1975, October",October,1975,10/1/1975
697,Marvel,Brian Falsworth (Earth-616),Secret Identity,NA,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,53,"1977, July",July,1977,7/1/1977
698,Marvel,Nikolai Krylenko (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,53,"1978, April",April,1978,4/1/1978
699,Marvel,Valinor (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,"1979, March",March,1979,3/1/1979
700,Marvel,Ann Darnell (Earth-616),Secret Identity,NA,Green Eyes,Brown Hair,Female Characters,Living Characters,53,"1980, December",December,1980,12/1/1980
701,Marvel,Alexander Pierce (Earth-616),NA,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,"1988, August",August,1988,8/1/1988
702,Marvel,Kayla Ballantine (Earth-616),Public Identity,Good Characters,NA,Strawberry Blond Hair,Female Characters,Living Characters,53,"1989, November",November,1989,11/1/1989
703,Marvel,Vanessa Carlysle (Earth-616),Secret Identity,Neutral Characters,Red Eyes,White Hair,Female Characters,Living Characters,53,"1991, February",February,1991,2/1/1991
704,Marvel,Donyell Taylor (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,"1993, October",October,1993,10/1/1993
705,Marvel,Ken Ellis (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,"1994, November",November,1994,11/1/1994
706,Marvel,Teon Macik (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,"2010, December",December,2010,12/1/2010
707,Marvel,Wu (Earth-616),Secret Identity,Neutral Characters,NA,No Hair,Male Characters,Living Characters,53,"2010, April",April,2010,4/1/2010
708,Marvel,Eva Bell (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,53,"2013, January",January,2013,1/1/2013
709,Marvel,Zuras (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,52,"1940, August",August,1940,8/1/1940
710,Marvel,Kevin Marlow (Earth-616),Secret Identity,NA,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,"1941, October",October,1941,10/1/1941
711,Marvel,Steven Rogers (William Burnside) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,"1953, December",December,1953,12/1/1953
712,Marvel,Space Phantom (Earth-616),NA,NA,Black Eyes,Brown Hair,Male Characters,Living Characters,52,"1963, November",November,1963,11/1/1963
713,Marvel,Tana Nile (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,52,"1966, June",June,1966,6/1/1966
714,Marvel,Turk Barrett (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,52,"1970, October",October,1970,10/1/1970
715,Marvel,Xandarian Worldmind (Earth-616),Public Identity,Good Characters,NA,NA,NA,Living Characters,52,"1977, April",April,1977,4/1/1977
716,Marvel,Argon (Microverse) (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,52,"1979, January",January,1979,1/1/1979
717,Marvel,Fabian Stankowicz (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,52,"1982, March",March,1982,3/1/1982
718,Marvel,Masque (Morlock) (Earth-616),Secret Identity,NA,Red Eyes,Bald,Male Characters,Living Characters,52,"1983, May",May,1983,5/1/1983
719,Marvel,Manuel de la Rocha (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,52,"1984, June",June,1984,6/1/1984
720,Marvel,Kodiak Noatak (Earth-616),Secret Identity,Bad Characters,NA,Red Hair,Male Characters,Living Characters,52,"1986, October",October,1986,10/1/1986
721,Marvel,Graydon Creed (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,52,"1993, January",January,1993,1/1/1993
722,Marvel,Max Eisenhardt (Joseph) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,52,"1995, December",December,1995,12/1/1995
723,Marvel,Seward Trainer (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,52,"1995, January",January,1995,1/1/1995
724,Marvel,Tex Dawson (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,51,"1954, December",December,1954,12/1/1954
725,Marvel,Gunther Bain (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,51,"1964, November",November,1964,11/1/1964
726,Marvel,Jeryn Hogarth (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,51,"1977, August",August,1977,8/1/1977
727,Marvel,Robert Farrell (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,"1977, September",September,1977,9/1/1977
728,Marvel,Maximillian Zaran (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,51,"1979, June",June,1979,6/1/1979
729,Marvel,Chons (Earth-616),Public Identity,Neutral Characters,Variable Eyes,NA,Male Characters,Living Characters,51,"1980, November",November,1980,11/1/1980
730,Marvel,Mikhail Ursus (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,51,"1981, April",April,1981,4/1/1981
731,Marvel,Joshua Guthrie (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Deceased Characters,51,"1984, November",November,1984,11/1/1984
732,Marvel,Antonio Rodriguez (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters,51,"1985, August",August,1985,8/1/1985
733,Marvel,Jack Hammer (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,"1993, August",August,1993,8/1/1993
734,Marvel,Neal Shaara (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,"2000, May",May,2000,5/1/2000
735,Marvel,"John Jonah Jameson, Sr. (Earth-616)",No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,51,"2009, January",January,2009,1/1/2009
736,Marvel,Terry Vance (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,50,"1940, August",August,1940,8/1/1940
737,Marvel,Aphrodite Ourania (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,50,"1948, August",August,1948,8/1/1948
738,Marvel,M-11 (Earth-616),Secret Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,50,"1954, May",May,1954,5/1/1954
739,Marvel,Sir Percy of Scandia (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,50,"1955, May",May,1955,5/1/1955
740,Marvel,Deborah Harris (Earth-616),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,50,"1965, October",October,1965,10/1/1965
741,Marvel,Llyra Morris (Earth-616),No Dual Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,Living Characters,50,"1970, December",December,1970,12/1/1970
742,Marvel,Robert Kelly (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,50,"1980, May",May,1980,5/1/1980
743,Marvel,Susan Austin (Earth-616),Public Identity,Good Characters,NA,Strawberry Blond Hair,Female Characters,Living Characters,50,"1988, June",June,1988,6/1/1988
744,Marvel,Amelia Voght (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,50,"1993, May",May,1993,5/1/1993
745,Marvel,Marshall Stone III (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,Living Characters,50,"1993, March",March,1993,3/1/1993
746,Marvel,Alexei Kravinoff (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,50,"1997, February",February,1997,2/1/1997
747,Marvel,Guy Smith (Earth-616),Secret Identity,Good Characters,Purple Eyes,White Hair,Male Characters,Deceased Characters,50,"2001, August",August,2001,8/1/2001
748,Marvel,Tike Alicar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,50,"2001, July",July,2001,7/1/2001
749,Marvel,Eden Fesi (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,50,"2009, July",July,2009,7/1/2009
750,Marvel,Raymond Dawson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,"1940, September",September,1940,9/1/1940
751,Marvel,Henry Tinkelbaum (Earth-616),Secret Identity,Good Characters,NA,Blond Hair,Male Characters,Deceased Characters,49,"1941, June",June,1941,6/1/1941
752,Marvel,Cookie Novak (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,49,"1951, November",November,1951,11/1/1951
753,Marvel,Hank Kelly (Earth-616),Public Identity,Good Characters,NA,Red Hair,NA,Living Characters,49,"1951, November",November,1951,11/1/1951
754,Marvel,Robert Rider (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,49,"1976, September",September,1976,9/1/1976
755,Marvel,Tania Belinskaya (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,49,"1976, May",May,1976,5/1/1976
756,Marvel,William Nasland (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,49,"1977, March",March,1977,3/1/1977
757,Marvel,Roger Bochs (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,49,"1983, August",August,1983,8/1/1983
758,Marvel,Marcus Stone (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,"1989, June",June,1989,6/1/1989
759,Marvel,Deidre Wentworth (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,49,"1991, July",July,1991,7/1/1991
760,Marvel,Fabian Cortez (Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,49,"1991, October",October,1991,10/1/1991
761,Marvel,Sharra Neramani (Earth-616),Secret Identity,NA,Yellow Eyes,Purple Hair,Female Characters,Deceased Characters,49,"1993, June",June,1993,6/1/1993
762,Marvel,Rumiko Fujikawa (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,49,"1998, May",May,1998,5/1/1998
763,Marvel,Gabriel Cohuelo (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,"2010, October",October,2010,10/1/2010
764,Marvel,Phillip Coulson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,49,"2012, January",January,2012,1/1/2012
765,Marvel,Christopher Muse (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,"2013, January",January,2013,1/1/2013
766,Marvel,Doctor Watson (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,48,"1940, August",August,1940,8/1/1940
767,Marvel,Abraham Erskine (Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Male Characters,Deceased Characters,48,"1941, March",March,1941,3/1/1941
768,Marvel,Umar (Earth-616),Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters,48,"1966, November",November,1966,11/1/1966
769,Marvel,Satannish (Earth-616),Secret Identity,Bad Characters,Multiple Eyes,NA,Male Characters,Deceased Characters,48,"1968, November",November,1968,11/1/1968
770,Marvel,Sha Shan (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,48,"1972, May",May,1972,5/1/1972
771,Marvel,Blood Brothers (Earth-616),NA,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,48,"1973, February",February,1973,2/1/1973
772,Marvel,Nekra Sinclair (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,Deceased Characters,48,"1973, August",August,1973,8/1/1973
773,Marvel,Abraham Brown (Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,48,"1974, April",April,1974,4/1/1974
774,Marvel,Mamie Muggins (Earth-616),Public Identity,NA,NA,Grey Hair,Female Characters,Living Characters,48,"1974, December",December,1974,12/1/1974
775,Marvel,In-Betweener (Earth-616),No Dual Identity,Neutral Characters,Black Eyes,No Hair,Male Characters,Living Characters,48,"1975, October",October,1975,10/1/1975
776,Marvel,Eric Payne (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,48,"1977, April",April,1977,4/1/1977
777,Marvel,Mentor (Imperial Guard) (Earth-616),Public Identity,Neutral Characters,White Eyes,No Hair,Male Characters,Living Characters,48,"1977, October",October,1977,10/1/1977
778,Marvel,Starbolt (Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters,48,"1977, October",October,1977,10/1/1977
779,Marvel,Manta (Earth-616),Public Identity,Neutral Characters,White Eyes,No Hair,Female Characters,Living Characters,48,"1980, September",September,1980,9/1/1980
780,Marvel,Lorelei (Asgardian) (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,48,"1983, November",November,1983,11/1/1983
781,Marvel,Grace Powell (Earth-616),Public Identity,Good Characters,NA,Red Hair,Female Characters,Living Characters,48,"1991, March",March,1991,3/1/1991
782,Marvel,Rick Sheridan (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Light Brown Hair,Male Characters,Living Characters,48,"1991, June",June,1991,6/1/1991
783,Marvel,Frances Barrison (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blue Hair,Female Characters,Living Characters,48,"1993, May",May,1993,5/1/1993
784,Marvel,Shirley Washington (Earth-616),Public Identity,NA,Brown Eyes,Black Hair,Female Characters,Living Characters,48,"1996, January",January,1996,1/1/1996
785,Marvel,Tsu-Zana (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,48,"1996, November",November,1996,11/1/1996
786,Marvel,Richard Gilmore (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,48,"1998, September",September,1998,9/1/1998
787,Marvel,Tarene (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,48,"2000, April",April,2000,4/1/2000
788,Marvel,Melati Kusuma (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,48,"2007, May",May,2007,5/1/2007
789,Marvel,Jonas Graymalkin (Earth-616),No Dual Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,48,"2008, June",June,2008,6/1/2008
790,Marvel,Thakorr (Earth-616),No Dual Identity,Bad Characters,NA,No Hair,Male Characters,Deceased Characters,48,"NA, NA",NA,NA,NA
791,Marvel,Ulysses Bloodstone (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,47,"1960, February",February,1960,2/1/1960
792,Marvel,Jack Pulver (Earth-616),Secret Identity,NA,Blue Eyes,Brown Hair,Male Characters,Living Characters,47,"1962, September",September,1962,9/1/1962
